RT 005 DUSUN II KEMBANG SEKAKI,3
RT 006 DUSUN II KEMBANG SEKAKI,3
RT 007 DUSUN II KEMBANG SEKAKI,2
RT 008 DUSUN II KEMBANG SEKAKI,5
RT 009 DUSUN III SERI KEMBANG,5
RT 010 DUSUN III SERI KEMBANG,5
RT 011 DUSUN III SERI KEMBANG,5
PERKEBUNAN KARET DAN SAWIT,0
RT 001 DUSUN 1,10
RT 002 DUSUN 1,10
RT 003 DUSUN 1,7
RT 004 DUSUN 2,8
RT 005 DUSUN 2,5
RT 006 DUSUN 2,7
RT 007 DUSUN 3,8
RT 008 DUSUN 3,7
RT 009 DUSUN 3,6
RT 010 DUSUN 4,8
RT 011 DUSUN 4,5
RT 012 DUSUN 4,8
SAWAH DAN KEBUN,0
SAWAH DAN KEBUN,0
RT 001 RW 01,51
RT 002 RW 01,76
RT 016 RW 01,79
RT 018 RW 01,53
RT 003 RW 02,63
RT 019 RW 02,63
RT 004 RW 02,61
RT 005 RW 02,45
RT 005 RW 02,176
RT 006 RW 03,25
RT 007 RW 03,39
RT 017 RW 03,13
RT 020 RW 03,58
RT 008 RW 04,25
RT 009 RW 04,12
RT 010 RW 05,13
RT 011 RW 05,10
RT 012 RW 05,13
RT 013 RW 06,20
RT 014 RW 06,23
RT 015 RW 06,4
PERKEBUNAN SAWIT DAN KARET,0
PERKEBUNAN SAWIT DAN KARET,0
PERKEBUNAN SAWIT DAN KARET,0
RT 001 DUSUN 1,8
RT 002 DUSUN 1,3
RT 003 DUSUN 1,5
RT 004 DUSUN 1,9
RT 005 DUSUN 2,3
RT 006 DUSUN 2,2
RT 007 DUSUN 2,3
RT 008 DUSUN 2,3
KEBUN KARET DAN SAWIT,0
RT 001 DUSUN I,4
RT 002 DUSUN I,2
RT 003 DUSUN I,1
RT 004 DUSUN I,4
RT 005 DUSUN II,1
RT 006 DUSUN II,1
RT 007 DUSUN II,0
RT 008 DUSUN II,1
KEBUN SAWIT,0
RT 001 DUSUN I TANGKIT JAYA,26
RT 002 DUSUN I TANGKIT JAYA,9
RT 003 DUSUN I TANGKIT JAYA,23
RT 004 DUSUN II MALOPARI,12
RT 005 DUSUN II MALOPARI,10
RT 006 DUSUN II MALOPARI,16
RT 007 DUSUN III TANAH LONGSOR,16
RT 008 DUSUN III TANAH LONGSOR,14
RT 009 DUSUN III TANAH LONGSOR,10
SAWAH DAN KEBUN,0
KEBUN SAWIT DAN KARET,15
RT 001 DUSUN 001,14
RT 002 DUSUN 001,15
RT 003 DUSUN 001,16
RT 004 DUSUN 001,18
RT 004 DUSUN 001,31
RT 013 DUSUN 001,0
RT 005 DUSUN 002,14
RT 006 DUSUN 002,7
RT 007 DUSUN 002,15
RT 008 DUSUN 002,9
RT 009 DUSUN 003,8
RT 010 DUSUN 003,4
RT 011 DUSUN 003,7
RT 012 DUSUN 003,0
KEBUN KARET,0
KEBUN KARET,0
KEBUN KARET,0
KEBUN KARET,0
RT 001 DUSUN 001,3
RT 002 DUSUN 001,4
RT 003 DUSUN 002,4
RT 005 DUSUN 002,6
RT 004 DUSUN 003,3
RT 006 DUSUN 003,3
RT 007 DUSUN 003,1
KEBUN SAWIT DAN SAWAH,0
KEBUN KARET DAN SAWIT,0
RT 001 RW 01,23
