idsbr,lat_new,long_new,status_label,petugas
95603559,-1.7235796,103.270053,ORIGINAL,-
95603565,-1.672602504,103.27285764,ORIGINAL,-
95603567,-1.72187484,103.2686224,ORIGINAL,-
95603575,-1.64503123,103.2903893,ORIGINAL,-
95602795,-1.584242018,103.2086442,ORIGINAL,-
95602796,-1.71622808156,103.2645972,ORIGINAL,-
95602798,-1.7152967853,103.26388917,ORIGINAL,-
95602810,-1.83245139159,103.02120661,ORIGINAL,-
95603558,-1.72350998,103.27001011,ORIGINAL,-
95603609,-1.624194602,103.28176979788,ORIGINAL,-
95603611,-1.786696889,103.38534448,ORIGINAL,-
95603624,-1.786819971,103.3663727,ORIGINAL,-
95603629,-1.75364807,103.37735,ORIGINAL,-
95603632,-1.7475753657,103.39388865,ORIGINAL,-
95603615,-1.788046,103.3824532134,ORIGINAL,-
95603617,-1.7892633261,103.376649921,ORIGINAL,-
95603635,-1.786064218,103.3660403134,ORIGINAL,-
95604065,-1.5342604513,103.179859153,ORIGINAL,-
95604061,-1.5724687664,103.1209911,ORIGINAL,-
95604075,-1.622856503223,103.3346570449,ORIGINAL,-
95604062,-1.57121944157,103.1270621576,ORIGINAL,-
95604120,-2.042763,103.3435691,ORIGINAL,-
95604117,-2.037823121,103.35473747,ORIGINAL,-
95604091,-1.7080154955,103.25978297,ORIGINAL,-
95604092,-1.72377243518,103.243718235,ORIGINAL,-
95604093,-1.7234117665,103.24382089,ORIGINAL,-
95604095,-1.71813221531,103.24675116,ORIGINAL,-
95604097,-1.7005644557,103.2633960269,ORIGINAL,-
95604109,-1.70801844905,103.25983080739,ORIGINAL,-
95604103,-1.720428442839,103.24608866884,ORIGINAL,-
95604105,-1.71370671303,103.265074226,ORIGINAL,-
95604193,-1.47705990964,103.40913758,ORIGINAL,-
95604238,-1.84378097963,103.29353101534,ORIGINAL,-
95604184,-1.50206383,103.3192845,ORIGINAL,-
95604196,-1.60505119592,103.37645697116,ORIGINAL,-
95604154,-1.548515439532,103.3678307711,ORIGINAL,-
95604159,-1.507593709,103.43718671,ORIGINAL,-
95604192,-1.6003623186,103.37629781349,ORIGINAL,-
95604195,-1.59155087,103.3794611,ORIGINAL,-
95604223,-1.842209895,103.2668427711,ORIGINAL,-
95604213,-2.0377,103.3565,ORIGINAL,-
95604214,-2.03156,103.34854,ORIGINAL,-
95604215,-1.716041,103.272663,ORIGINAL,-
95604227,-1.83935,103.26451,ORIGINAL,-
95604152,-1.5090184,103.4355688,ORIGINAL,-
95604308,-1.5604,103.4285,ORIGINAL,-
95604334,-1.829759,103.347145,ORIGINAL,-
95604336,-1.8318784,103.379257204,ORIGINAL,-
95604337,-1.8281,103.3475,ORIGINAL,-
95604344,-1.78945057,103.3983849,ORIGINAL,-
95604345,-1.7891144008,103.39847655,ORIGINAL,-
95604354,-1.789460752,103.39865926995,ORIGINAL,-
95603282,-1.69285668,103.27908574,ORIGINAL,-
95602596,-1.7034422042,103.0904711153,ORIGINAL,-
95602600,-1.704275059,103.065127257,ORIGINAL,-
95602604,-1.772196216,103.10874812698,ORIGINAL,-
95603287,-1.690210018432,103.2777850306,ORIGINAL,-
95603288,-1.6883558609474,103.27736792328,ORIGINAL,-
95603290,-1.68911895394,103.276376399,ORIGINAL,-
95603308,-1.693031582437,103.27008898651,ORIGINAL,-
95603285,-1.704081859789,103.28691442698,ORIGINAL,-
95603305,-1.6930983163,103.26765869256,ORIGINAL,-
95603319,-1.723371890492,103.14744187302,ORIGINAL,-
95602622,-1.704705521924,103.32207693813,ORIGINAL,-
95602623,-1.634951375,102.8792172,ORIGINAL,-
95603332,-1.7162664374,103.123352899,ORIGINAL,-
95602607,-1.67875512596,103.0916335288,ORIGINAL,-
95603295,-1.693891382549,103.26932212698,ORIGINAL,-
95602621,-1.7013108402,103.3212709384,ORIGINAL,-
95602624,-1.622019622469,102.85857337116,ORIGINAL,-
95603334,-1.7160254094702,103.12348502884,ORIGINAL,-
95603335,-1.7133269331,103.11965279814,ORIGINAL,-
95602614,-1.7662429345855,103.27625891349,ORIGINAL,-
95603293,-1.66880813,103.28176979894,ORIGINAL,-
95603300,-1.662167197175,103.27758845401,ORIGINAL,-
95603304,-1.7133068850894,103.25235014048,ORIGINAL,-
95602628,-1.5136752997984,102.89416632387,ORIGINAL,-
95603323,-1.721778558178,103.12923541534,ORIGINAL,-
95602617,-1.7188958098,103.330658186,ORIGINAL,-
95602618,-1.718874761816,103.3306719,ORIGINAL,-
95602619,-1.7189166561137,103.33065034562,ORIGINAL,-
95603309,-1.6930208565762,103.27008898212,ORIGINAL,-
95603327,-1.7176189254,103.1252876,ORIGINAL,-
95603329,-1.700341,103.2624165,ORIGINAL,-
